ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock
5268F319,3,77,2,1,4,13,68,312,3,8,8,20150521,1.00,0,0,181
5268F521,3,77,2,1,4,13,68,312,1,8,2,20150315,1.00,0,5,23
5268F925,3,77,2,1,4,13,68,312,3,8,8,20150312,1.00,0,86,59
52690B43,3,77,2,1,4,13,68,312,3,8,2,20150329,1.00,14,9,54
52691149,3,77,2,1,4,13,68,312,3,8,8,20150531,1.00,0,0,68
52691351,3,77,2,1,4,13,68,312,3,8,2,20150414,1.00,0,0,34
52691957,3,77,2,1,4,13,68,312,1,8,13,20150312,1.00,0,249,334
52691B59,3,77,2,1,4,13,68,312,1,8,13,20150314,1.00,0,45,58
52692165,3,77,2,1,4,13,68,385,3,8,10,20150321,1.00,6,7,32
52692569,3,77,2,1,4,13,68,385,1,8,2,20150313,1.00,0,147,35
52692B75,3,77,2,1,4,13,68,385,3,8,13,20150312,1.00,0,71,205
52692D77,3,77,2,1,4,13,68,385,3,8,2,20150316,1.00,1,7,194
52693989,3,77,2,1,4,13,68,386,1,8,8,20150312,1.50,0,7,63
52693D93,3,77,2,1,4,13,68,386,1,8,5,20150411,1.50,6,3,123
52695F27,3,77,2,1,4,13,68,313,3,8,2,20150312,2.00,0,45,130
52696331,3,77,2,1,4,13,68,313,1,8,3,20150313,2.00,0,29,34
52696533,3,77,2,1,4,13,68,313,1,8,13,20150312,2.00,0,66,31
52697B55,3,77,2,1,4,13,68,313,1,8,8,20150312,2.00,0,96,33
52697D57,3,77,2,1,4,13,68,313,1,8,2,20150312,1.50,0,83,183
52698D73,3,75,2,1,4,13,68,387,1,8,8,20150314,2.00,0,13,121
52699379,3,77,2,1,4,13,68,312,1,8,2,20150312,1.00,0,56,58
52699C88,3,77,2,1,4,13,68,312,3,8,13,20150328,1.00,0,0,28
549CB945,4,26,2,1,4,10,9,165,2,2,2,20151114,11.50,6,13,116
54A7AE50,4,26,2,1,4,10,9,165,2,2,7,20151023,10.00,5,46,175
54E69452,4,77,2,1,4,13,68,385,3,2,13,20151030,0.50,0,121,150
