ID,SeasonCode,ProductCode,CycleCode,CountryCode,Biz_unit_Code,CatCode,SubCatCode,UnitBaseCode,GenderCode,GroupCode,ColourCode,First_Sale_Date,PVP,Dist_phase,Units_Sold,Stock,Flop
5268F319,3,77,2,1,4,13,68,312,3,8,8,20150521,1.00,0,0,181,0
5268F521,3,77,2,1,4,13,68,312,1,8,2,20150315,1.00,0,5,23,0
5268F925,3,77,2,1,4,13,68,312,3,8,8,20150312,1.00,0,86,59,0
52690B43,3,77,2,1,4,13,68,312,3,8,2,20150329,1.00,14,9,54,0
52691149,3,77,2,1,4,13,68,312,3,8,8,20150531,1.00,0,0,68,0
52691351,3,77,2,1,4,13,68,312,3,8,2,20150414,1.00,0,0,34,0
52691957,3,77,2,1,4,13,68,312,1,8,13,20150312,1.00,0,249,334,0
52691B59,3,77,2,1,4,13,68,312,1,8,13,20150314,1.00,0,45,58,0
52692165,3,77,2,1,4,13,68,385,3,8,10,20150321,1.00,6,7,32,0
52692569,3,77,2,1,4,13,68,385,1,8,2,20150313,1.00,0,147,35,0
52692B75,3,77,2,1,4,13,68,385,3,8,13,20150312,1.00,0,71,205,0
52692D77,3,77,2,1,4,13,68,385,3,8,2,20150316,1.00,1,7,194,1
52693989,3,77,2,1,4,13,68,386,1,8,8,20150312,1.50,0,7,63,0
52693D93,3,77,2,1,4,13,68,386,1,8,5,20150411,1.50,6,3,123,0
52695F27,3,77,2,1,4,13,68,313,3,8,2,20150312,2.00,0,45,130,0
52696331,3,77,2,1,4,13,68,313,1,8,3,20150313,2.00,0,29,34,0
52696533,3,77,2,1,4,13,68,313,1,8,13,20150312,2.00,0,66,31,0
52697B55,3,77,2,1,4,13,68,313,1,8,8,20150312,2.00,0,96,33,0
52697D57,3,77,2,1,4,13,68,313,1,8,2,20150312,1.50,0,83,183,0
52698D73,3,75,2,1,4,13,68,387,1,8,8,20150314,2.00,0,13,121,0
52699379,3,77,2,1,4,13,68,312,1,8,2,20150312,1.00,0,56,58,0
52699C88,3,77,2,1,4,13,68,312,3,8,13,20150328,1.00,0,0,28,0
549CB945,4,26,2,1,4,10,9,165,2,2,2,20151114,11.50,6,13,116,0
54A7AE50,4,26,2,1,4,10,9,165,2,2,7,20151023,10.00,5,46,175,0
54E69452,4,77,2,1,4,13,68,385,3,2,13,20151030,0.50,0,121,150,0
55B34755,5,21,2,1,3,11,20,270,1,2,14,20160104,9.00,4,35,90,0
55B34B59,5,21,2,1,4,10,12,157,1,2,14,20151229,9.00,2,31,167,0
55B35872,5,21,2,1,3,11,20,270,1,2,8,20160205,9.00,5,45,31,0
55B36181,5,21,2,1,4,10,12,157,1,2,8,20160204,9.00,4,16,78,0
55B36E94,5,21,2,1,3,11,20,270,1,2,2,20151218,9.00,0,76,84,0
55B37703,5,69,2,1,3,11,20,319,1,2,9,20151218,14.00,0,147,196,0
55B37E10,5,38,2,1,3,11,20,197,1,2,8,20160303,9.00,4,15,37,0
55B4AD13,5,26,2,1,4,10,9,165,2,2,9,20151230,13.00,3,44,243,1
55B50096,5,69,2,1,4,10,12,274,1,2,2,20151218,9.00,0,43,459,1
55B5F339,5,21,2,1,4,10,12,157,1,10,8,20151229,4.00,0,36,265,1
55B60759,5,21,2,1,4,10,12,157,1,10,2,20151230,4.00,0,117,64,0
55B60E66,5,26,2,1,3,11,28,160,2,2,2,20160104,8.00,8,35,242,1
55B61B79,5,26,2,1,4,10,9,165,2,2,2,20160102,8.00,6,49,307,1
55B62892,5,26,2,1,4,10,9,165,2,2,2,20151218,8.00,0,78,72,0
55B63505,5,26,2,1,4,10,9,165,2,2,5,20160116,8.00,20,7,221,1
55B6DF75,5,69,2,1,3,11,20,319,1,2,7,20151218,13.00,0,78,152,0
55B6E581,5,38,2,1,4,10,12,195,1,2,8,20160317,9.00,4,6,6,0
55B6F395,5,38,2,1,4,10,12,195,1,2,14,20160302,10.00,3,13,102,0
55B81585,5,26,2,1,3,11,28,283,2,2,2,20160201,10.00,1,57,157,0
